SampleID,PC1,PC2,PC3,PC4,PC5
TCGA-AR-A1AV,10.2923,2.277,-0.51076,2.2578,1.6746
TCGA-AR-A1AW,0.48893,0.13787,-3.1782,5.361,-7.0349
TCGA-AR-A1AX,-0.58785,-4.775,-1.6898,-0.075373,-3.468
TCGA-AR-A1AY,-14.704,1.0006,4.5381,1.6125,2.0291
TCGA-B6-A0I2,-15.5758,6.4692,-1.9966,-2.5541,-5.5621
TCGA-B6-A0I5,0.91723,-4.9744,-1.3853,-7.2758,2.7187
TCGA-B6-A0I6,-13.7686,1.9659,3.4708,1.6647,6.4149
TCGA-B6-A0I8,5.5589,1.9741,-0.12245,-1.1728,2.4718
TCGA-B6-A0I9,-0.51318,3.7291,-1.6873,-1.3597,-0.46185
TCGA-B6-A0IA,6.8438,4.6902,0.47342,-10.6611,2.5582
TCGA-B6-A0IB,6.9165,3.9286,-1.233,-4.6422,-0.066531
TCGA-B6-A0IC,10.9087,13.2812,4.1853,-4.6019,-1.5577
TCGA-B6-A0IE,1.0162,-1.0283,3.1435,-5.6457,0.7548
TCGA-B6-A0IG,1.0013,-1.99,-2.1408,-4.9953,-0.055889
TCGA-B6-A0IH,-0.16824,-6.997,2.8896,-0.43023,-2.1737
TCGA-B6-A0IJ,-15.1375,4.086,0.095236,-1.9434,-3.7391
TCGA-B6-A0IK,-2.7824,-3.4634,-1.4773,-5.7224,1.0954
TCGA-B6-A0IM,7.871,4.3833,1.7074,8.1267,1.2622
TCGA-B6-A0IN,4.596,-0.36228,-0.76554,1.2751,-2.1612
TCGA-B6-A0IO,3.6293,2.5404,2.5901,-3.38,-0.78362
TCGA-B6-A0IP,2.2726,-3.0942,3.4236,-3.306,0.30284
TCGA-B6-A0IQ,-15.9119,5.1442,2.4522,-3.0656,0.67877
TCGA-B6-A0RE,-16.0236,0.5386,2.2634,-1.8447,3.4649
TCGA-B6-A0RG,2.8297,-0.058899,3.7704,-1.4405,4.0652
TCGA-B6-A0RH,-1.2046,-4.4764,-7.4106,-5.3404,2.5432
TCGA-B6-A0RI,4.4109,-3.6577,0.77203,2.0691,5.2184
TCGA-B6-A0RL,6.2005,17.4432,4.5789,-5.6671,-1.1655
TCGA-B6-A0RM,8.9671,6.3635,1.0168,0.72561,1.5391
TCGA-B6-A0RN,5.2696,-0.52344,-0.73921,3.2639,3.9939
TCGA-B6-A0RO,4.3772,-1.043,1.8695,-8.5125,-1.3693
TCGA-B6-A0RP,9.2674,-1.102,-2.3375,3.5124,-0.28883
TCGA-B6-A0RQ,-1.8661,-7.2981,8.9801,-7.0423,-0.44915
TCGA-B6-A0RS,-5.2722,-3.2708,-6.7866,-3.3495,-0.431
TCGA-B6-A0RT,-11.7958,-0.68274,0.6113,2.3096,-6.3233
TCGA-B6-A0RU,-10.0783,-3.3386,6.7448,-1.6971,0.10553
TCGA-B6-A0RV,2.9568,-3.488,3.4686,-3.7203,-2.6529
TCGA-B6-A0WS,4.3823,-2.7327,-1.7952,1.8652,-0.76179
TCGA-B6-A0WT,5.622,-2.9307,3.051,1.9809,3.6112
TCGA-B6-A0WV,5.5188,3.7703,5.0989,-0.97543,1.8659
TCGA-B6-A0WW,3.846,2.2095,-1.0999,1.9591,1.3238
TCGA-B6-A0WX,-10.7642,-5.7414,1.9216,0.8784,2.3809
TCGA-B6-A0WY,-1.8544,-6.2718,2.9337,-2.6316,1.2098
TCGA-B6-A0WZ,5.9995,-2.1572,-2.7282,-6.75,3.0204
TCGA-B6-A0X0,1.957,0.25345,2.6891,-7.6357,1.7298
TCGA-B6-A0X1,-12.9283,8.2476,-0.68083,-0.74358,-5.1329
TCGA-B6-A0X4,8.8007,7.1106,6.1643,-7.2013,1.092
TCGA-B6-A0X5,6.878,7.418,-3.2765,-3.0838,1.9403
TCGA-B6-A0X7,2.9727,-4.8147,2.7459,0.66954,0.58119
TCGA-BH-A0AU,4.0709,-0.29403,1.1963,4.8187,-0.023998
TCGA-BH-A0AV,-13.3514,-1.2075,2.0558,7.3841,5.5678
TCGA-BH-A0AW,-4.5359,-4.2638,-6.7231,-2.6535,-1.3794
TCGA-BH-A0AY,2.7239,-2.222,-5.2493,4.3315,-1.5243
TCGA-BH-A0AZ,1.8069,-10.3264,0.2253,0.7662,1.803
TCGA-BH-A0B0,0.67562,-8.1827,-2.9957,0.45779,-2.6737
TCGA-BH-A0B1,1.5319,-3.9691,2.4897,0.29296,-0.0097143
TCGA-BH-A0B3,-14.6349,-1.969,-0.39662,1.8895,1.0425
TCGA-BH-A0B4,1.3186,-1.9443,1.055,2.7085,2.7285
TCGA-BH-A0B5,2.2786,-4.394,1.2912,1.9181,-0.65868
TCGA-BH-A0B7,-3.3158,-8.0692,-5.4408,-1.8127,-1.6871
TCGA-BH-A0B8,4.7495,-0.092919,3.9538,0.32316,-0.032581
TCGA-BH-A0B9,-15.1531,4.082,3.0193,-2.4465,-3.9309
TCGA-BH-A0BA,2.8114,-6.7449,2.2916,-3.8887,-3.59
TCGA-BH-A0BC,1.9879,-3.4676,3.3621,1.1563,-2.1465
TCGA-BH-A0BD,0.50537,-5.2605,0.28318,0.018054,-2.1824
TCGA-BH-A0BF,-2.1887,-4.7388,-5.2569,5.4195,-1.1053
TCGA-BH-A0BG,-14.5159,0.41561,3.386,2.8307,-2.8812
TCGA-BH-A0BJ,3.154,-4.8842,4.4524,0.75378,-0.52589
TCGA-BH-A0BL,-12.147,-6.7517,0.87653,4.6788,-0.62669
TCGA-BH-A0BM,1.1026,-10.6853,3.0165,-6.0248,-1.9116
TCGA-BH-A0BO,0.78305,-10.1181,3.3185,-0.26156,-1.9292
TCGA-BH-A0BP,1.1549,-9.0557,1.9728,-0.26324,-0.2185
TCGA-BH-A0BQ,-0.80757,-9.4136,0.71427,-1.1491,0.60058
TCGA-BH-A0BR,-0.41844,-7.2734,-5.6199,-0.11338,1.5362
TCGA-BH-A0BS,5.2848,1.1751,2.8692,-3.9109,-2.1493
TCGA-BH-A0BT,0.11293,-2.7515,-2.0604,-3.2783,-0.033062
TCGA-BH-A0BV,6.9902,-0.52292,0.60015,0.87287,-1.461
TCGA-BH-A0BW,-12.903,3.0062,1.6532,4.4107,-3.8281
TCGA-BH-A0BZ,-0.99327,-0.17589,-4.6451,4.6343,0.42875
TCGA-BH-A0C0,-2.115,-0.32732,-4.4517,-1.9011,-4.3387
TCGA-BH-A0C3,2.0934,-2.9832,0.69987,6.392,-2.912
TCGA-BH-A0DD,7.2137,5.9739,-0.51726,3.3323,0.22181
TCGA-BH-A0DE,2.5171,-6.7486,4.2731,1.2117,-1.5126
