1 2 3 4
TCGA-B6-A0I2 253.3207 0 0 23.7642
TCGA-B6-A0I5 85.7359 0 57.9864 275.484
TCGA-B6-A0I6 180.0005 0.0229 123.7478 0
TCGA-B6-A0I8 9.2595 125.9489 118.7438 52.8691
TCGA-B6-A0I9 87.2866 123.0417 43.0083 3.4059
TCGA-B6-A0IA 16.7428 0.4021 10.1734 381.2861
TCGA-B6-A0IB 25.7323 28.5758 31.2359 208.1404
TCGA-B6-A0IC 0 117.7287 1.388 72.2336
TCGA-B6-A0IE 101.9211 31.6516 35.9331 149.1029
TCGA-B6-A0IG 91.8328 16.3843 88.4386 157.8558
TCGA-B6-A0IH 58.9398 1.5391 197.8274 106.5779
TCGA-B6-A0IJ 231.903 0.0012 8.1555 12.4804
TCGA-B6-A0IK 147.78 37.6419 55.2889 43.4094
TCGA-B6-A0IM 0.7406 127.1143 150.09 57.6278
TCGA-B6-A0IN 71.9303 77.9919 84.8153 112.6994
TCGA-B6-A0IO 34.9254 56.6929 32.3287 181.1765
TCGA-B6-A0IP 29.7797 30.0905 65.1189 171.3748
TCGA-B6-A0IQ 235.1421 4e-04 11.4553 2.5589
TCGA-B6-A0RE 211.9258 0.007 61.8963 1.4611
TCGA-B6-A0RG 27.4532 162.7124 108.0125 20.1719
TCGA-B6-A0RH 148.7875 0 138.7914 158.2299
TCGA-B6-A0RI 28.6822 49.3933 253.3431 99.6023
TCGA-B6-A0RL 13.7732 159.8074 0 14.589
TCGA-B6-A0RM 10.4457 118.2382 39.7269 77.6925
TCGA-B6-A0RN 23.3092 0 247.7624 172.7934
TCGA-B6-A0RO 9.7441 88.1342 24.4968 173.4448
TCGA-B6-A0RP 0.0055 67.797 198.5321 121.6951
TCGA-B6-A0RQ 103.1367 1.4636 24.1721 145.0446
TCGA-B6-A0RS 156.0548 0 66.4046 103.6913
TCGA-B6-A0RT 165.9804 0.0268 53.9011 6.2664
TCGA-B6-A0RU 195.5994 0.4556 60.9403 13.5803
TCGA-B6-A0RV 43.4845 41.8338 36.8678 159.9589
TCGA-B6-A0WS 23.6601 72.8699 157.1306 78.9006
TCGA-B6-A0WT 10.794 86.0037 215.5667 39.0177
TCGA-B6-A0WV 26.1435 131.4304 56.0083 12.0433
TCGA-B6-A0WW 22.4023 130.7836 120.3971 23.7717
TCGA-B6-A0WX 164.3197 0 232.5911 9.1436
TCGA-B6-A0WY 110.0407 24.6622 107.8045 77.7264
TCGA-B6-A0WZ 25.1589 0 72.3418 253.0323
TCGA-B6-A0X0 51.7612 0 18.916 227.8743
TCGA-B6-A0X1 181.8612 11.2534 4.3244 6.5158
TCGA-B6-A0X4 0.0953 198.4756 6.8788 51.947
TCGA-B6-A0X5 39.1924 70.4151 33.3759 72.0344
TCGA-B6-A0X7 40.7037 8.631 203.4189 136.9188
TCGA-BH-A0AU 16.133 126.8613 210.5764 9.1107
TCGA-BH-A0AV 166.1028 0 320.2054 0
TCGA-BH-A0AW 184.0549 0.3637 100.6518 72.9145
TCGA-BH-A0AY 87.7283 2.6802 218.4625 106.6053
TCGA-BH-A0AZ 25.0194 0.041 474.3579 139.376
TCGA-BH-A0B0 72.0737 0 308.7784 123.3147
TCGA-BH-A0B1 20.1827 152.7969 122.8107 52.8002
TCGA-BH-A0B3 216.605 0.0594 137.2511 0.0026
TCGA-BH-A0B4 78.3718 55.1644 185.2799 48.6467
TCGA-BH-A0B5 49.2908 31.2927 174.2381 76.8977
TCGA-BH-A0B7 134.6449 0.0427 180.8743 56.7912
TCGA-BH-A0B8 21.0025 99.2336 68.2946 117.2907
TCGA-BH-A0B9 258.5209 6e-04 0 11.3387
TCGA-BH-A0BA 26.2663 33.7849 79.391 129.9739
TCGA-BH-A0BC 74.5536 23.2837 132.3346 127.6804
TCGA-BH-A0BD 75.9965 34.554 131.4907 125.8277
TCGA-BH-A0BF 102.0101 0.0036 358.8473 30.6567
TCGA-BH-A0BG 222.9122 0 41.393 4.9636
