ID,1,2,3,4,5,6,7,8
TCGA-AO-A03R,11.2089,0.8688,12.0926,36.3942,115.7371,237.8864,4.5435,45.6431
TCGA-AO-A03T,0,15.6326,23.0768,0,119.616,181.2003,125.9467,100.7011
TCGA-AO-A03V,44.4908,0.0747,71.6329,145.6817,56.8862,60.527,7.9722,3.3472
TCGA-AO-A0J2,74.813,0.0003,31.3505,0,19.3486,71.4663,307.3048,116.1202
TCGA-AO-A0J3,3.7031,2.6813,4.3965,1.0402,215.018,78.6822,0.1352,0
TCGA-AO-A0J4,224.6859,0,61.7879,0,0,27.5566,0.0138,96.3312
TCGA-AO-A0J6,141.1655,0.0004,9.0644,0,9.2068,51.0834,0.0008,224.899
TCGA-AO-A0J7,5.9216,68.0023,48.7736,132.2368,78.2867,140.3652,0,0
TCGA-AO-A0J8,3.2813,0.0029,114.0958,170.4962,39.1989,57.8463,13.7949,120.5113
TCGA-AO-A0J9,7.4504,0.0124,136.4532,75.8105,0.0031,274.5737,0.0999,133.1673
TCGA-AO-A0JA,54.4072,0.2449,217.8481,95.8677,62.2579,0,49.8138,26.0587
TCGA-AO-A0JB,10.3699,0.004,20.4805,45.4588,0.0005,483.0918,49.5402,45.2633
TCGA-AO-A0JC,39.5765,0.0021,10.5805,49.439,0,123.4526,0,182.9956
TCGA-AO-A0JD,97.8018,0.172,6.7678,59.707,99.4601,67.3363,23.1434,32.5927
TCGA-AO-A0JE,64.6244,0.0192,249.6833,38.3252,0,45.5669,226.8587,118.1991
TCGA-AO-A0JF,42.0636,0.016,233.8676,174.8043,0,23.2737,16.2843,36.4489
TCGA-AO-A0JG,34.5025,119.7122,91.766,64.6172,95.1896,23.079,0.9806,22.2398
TCGA-AO-A0JI,5.1036,284.3989,12.6416,26.9037,166.4384,20.2443,0,0
TCGA-AO-A0JJ,33.6471,1.2243,120.2024,151.6487,0,78.6357,22.6857,65.6157
TCGA-AO-A0JL,99.3361,0.709,34.4486,0,0,274.8109,53.8916,22.2052
TCGA-AO-A0JM,35.7703,1.288,217.8332,12.7671,80.8157,58.326,214.3206,0
TCGA-AO-A124,218.2273,0.0008,2.8337,4.1132,0,70.319,0,73.8681
TCGA-AO-A125,0.4415,0.0186,0,208.4149,0,115.6438,56.2646,17.5308
TCGA-AO-A126,0.0206,0.5404,230.2768,67.784,37.3142,255.0394,1.6968,0
TCGA-AO-A128,113.8864,0.0022,19.2626,21.3669,0,12.2673,0,321.8534
TCGA-AO-A129,142.0566,0.0008,35.4029,0,0,144.4341,0.03,117.9081
TCGA-AO-A12A,52.7423,0.3217,96.2413,147.9405,0.0001,66.7529,9.7771,47.2282
TCGA-AO-A12B,0.0342,34.2984,2.4243,252.8149,30.7048,66.6435,34.7366,68.9453
TCGA-AO-A12C,21.9381,0.3958,285.7483,98.9825,71.0741,121.3026,0,0
TCGA-AO-A12D,82.4267,0.0063,143.7866,2.5754,0,0,538.1858,37.3145
TCGA-AO-A12E,24.5845,0.0493,43.6783,119.5988,88.2318,25.7953,58.8601,78.6321
TCGA-AO-A12F,167.1509,0.0019,77.0072,0,0,139.3297,9.6907,9.2345
TCGA-AO-A12G,25.7325,5.5692,101.74,92.2631,69.8052,155.4594,66.7583,0
TCGA-AO-A12H,0,687.7697,21.9408,15.3872,63.3877,60.4188,0,0.0001
TCGA-AQ-A04J,169.9406,0.0029,64.474,9.1369,0,50.6366,0.4698,117.3085
TCGA-AR-A0TP,255.4876,0.0002,25.0613,0,6.7868,54.4199,1.2381,8.2679
TCGA-AR-A0TQ,17.3847,0.0209,64.5021,0,218.2312,42.9594,108.0581,32.8989
TCGA-AR-A0TR,8.462,196.0275,0,139.9987,76.6257,25.0247,0,0
TCGA-AR-A0TS,189.3425,0.0004,65.0426,0,13.4528,0,1.2547,72.4753
TCGA-AR-A0TT,65.8421,0.0599,107.6477,21.9074,67.5578,42.5892,0,105.3885
TCGA-AR-A0TU,130.224,0,0,0,0,128.5527,0.0002,93.2184
TCGA-AR-A0TV,33.8953,13.542,9.8991,36.4997,165.1524,55.9942,0,55.1444
TCGA-AR-A0TW,33.583,0.1139,38.2946,43.6463,165.7243,33.5266,14.3923,57.6
TCGA-AR-A0TX,75.822,0.0175,113.6965,0.2114,54.3701,25.1674,246.9804,43.8575
TCGA-AR-A0TY,24.606,0.0495,30.4904,0,196.757,103.1514,0.0409,82.6136
TCGA-AR-A0TZ,27.1474,0.0069,85.7809,87.8824,145.2378,0,0,0
TCGA-AR-A0U0,146.5169,0.0004,17.328,0,9.2596,14.7147,1.1484,219.9607
TCGA-AR-A0U2,69.4897,0.8476,32.3279,0,149.2322,0,34.6337,0.2378
TCGA-AR-A0U3,53.2663,0.0643,22.8329,115.3137,113.1738,0,0,19.0146
TCGA-AR-A0U4,165.6133,0.0003,44.7714,6.2694,0,13.2546,0,215.2052
TCGA-AR-A1AH,174.7372,0,25.6246,0.7643,0,76.4392,0,24.5273
TCGA-AR-A1AI,199.0755,0,9.8735,2.1395,5.2839,0,0,132.4463
TCGA-AR-A1AJ,133.677,0.0025,66.0967,9.7094,0,9.7349,0,206.9006
TCGA-AR-A1AK,25.6656,0.003,53.8481,85.0989,84.9332,30.0555,25.1375,110.3673
TCGA-AR-A1AL,70.9653,0.0328,129.5828,134.9438,0,12.3172,31.535,6.0354
TCGA-AR-A1AN,50.6245,0.0398,209.6605,137.8584,0,78.8635,103.7252,0
TCGA-AR-A1AO,76.7421,0.0055,210.4913,16.6462,0,65.6701,25.6222,218.2946
TCGA-AR-A1AP,39.3758,0.0049,106.0752,90.4067,83.8051,55.8183,8.7325,102.1034
TCGA-AR-A1AQ,140.1747,0.0014,41.3016,0.7962,0,87.7793,0,152.6269
TCGA-AR-A1AR,160.3315,0,85.6973,10.7673,0,28.438,0,118.7738
TCGA-AR-A1AS,58.9646,0,93.892,132.9477,0,78.9769,139.107,4.1784
TCGA-AR-A1AT,67.4062,0.0011,118.5393,52.7042,0,64.4359,324.4358,84.4248
TCGA-AR-A1AU,53.5512,0.6698,135.1042,82.9453,109.958,59.3476,0,12.5971
TCGA-AR-A1AV,34.8583,70.4339,112.0678,134.3159,87.9737,0,13.511,0
TCGA-AR-A1AW,58.6724,0.0003,60.5251,32.8282,52.8196,33.889,6.0072,157.1176
TCGA-AR-A1AX,52.6713,0.0537,93.9221,76.6365,58.7821,28.9636,69.5624,83.7613
TCGA-AR-A1AY,216.1112,0.0014,53.4585,0,7.4027,0,0.1347,49.9448
TCGA-B6-A0I2,97.8648,0,0,1.4257,0.0006,215.6242,0,226.1826
TCGA-B6-A0I5,0.0028,0.02,63.0705,102.6595,9.7172,375.5154,39.6738,43.8927
TCGA-B6-A0I6,180.2154,0.006,117.144,0,0,71.0472,0.0017,10.3134
TCGA-B6-A0I8,34.1026,0.0761,98.1459,52.8643,160.1223,0.0226,105.4148,0
TCGA-B6-A0I9,52.4095,0.0045,29.3145,15.766,137.009,51.6756,180.7484,11.7446
TCGA-B6-A0IA,0.0014,314.3424,7.1679,107.2325,12.1405,189.8661,206.2466,0
TCGA-B6-A0IB,10.4524,2.3926,26.3306,120.2323,52.1915,94.9486,173.0645,0
TCGA-B6-A0IC,16.7944,0.2855,0,173.5455,80.576,14.9478,0,0
TCGA-B6-A0IE,11.8009,7.7645,37.6074,31.821,106.172,254.508,27.4798,11.6772
TCGA-B6-A0IG,21.7395,0.0119,77.7111,33.0356,63.4544,134.776,290.7282,0
TCGA-B6-A0IH,57.7666,0.3562,167.0278,117.2195,0,47.2402,6.5212,48.1295
TCGA-B6-A0IJ,153.3363,0.0029,5.1854,2.2145,0,106.4941,0,181.6794
TCGA-B6-A0IK,122.6984,2.7448,44.6467,7.003,43.7652,79.5868,149.089,22.5966
