1 2 3 4 5 6 7
TCGA-AO-A0J6 249.1898 4e-04 9.0065 8.7956 0 47.531 0
TCGA-AO-A0J7 0 67.9805 47.1973 128.2693 76.3057 134.379 0
TCGA-AO-A0J8 33.6522 0.0029 114.7173 216.3098 9.7144 42.353 36.6563
TCGA-AO-A0J9 51.247 0.0103 149.3781 77.2835 0 268.2184 0
TCGA-AO-A0JA 29.8417 0.2391 223.0765 83.1514 73.0024 16.5568 57.4397
TCGA-AO-A0JB 23.1644 0.0039 21.302 46.302 0 462.163 57.3454
TCGA-AO-A0JC 130.1077 0.0024 13.7286 42.7373 0 111.5113 0
TCGA-AO-A0JD 80.4322 0.1656 7.0826 53.0085 113.4777 78.2214 30.2878
TCGA-AO-A0JE 67.772 0.0189 259.7635 35.19 0.2107 32.8286 278.3386
TCGA-AO-A0JF 39.9584 0.0165 234.8863 182.1629 0.0055 24.6205 19.8191
TCGA-AO-A0JG 27.3734 119.4771 93.5338 57.5657 99.6773 26.354 0.5742
TCGA-AO-A0JI 0 283.9919 11.6918 22.4019 155.4973 14.3472 0
TCGA-AO-A0JJ 49.9966 1.2565 123.1523 156.0009 0 72.6139 30.3687
TCGA-AO-A0JL 110.5615 0.9397 34.3458 0 0 267.3345 47.7095
TCGA-AO-A0JM 0.9713 1.3238 221.2848 6.1497 73.7526 53.3648 236.1115
TCGA-AO-A124 251.3405 9e-04 3.4804 7.168 0 81.1155 0
TCGA-AO-A125 0 0.018 0 219.8432 0 101.5554 51.1016
TCGA-AO-A126 0 0.5482 226.4271 60.6318 34.0427 246.1522 1.1322
TCGA-AO-A128 256.7288 0.0021 20.4086 34.0418 0 0 0.1112
TCGA-AO-A129 198.0449 6e-04 36.2972 0.5543 0 142.6002 0.0116
TCGA-AO-A12A 61.9393 0.3157 96.9185 154.9988 0.0621 65.5895 13.5552
TCGA-AO-A12B 7.8838 36.0965 0.195 284.6557 1.6072 51.9283 81.3126
TCGA-AO-A12C 0.4107 0.4006 289.3978 75.3935 85.9341 128.0181 0
TCGA-AO-A12D 32.051 0.0072 153.9911 0 1.9441 0 547.0182
TCGA-AO-A12E 38.5242 0.0498 44.9275 130.4195 78.5466 19.0726 70.9511
TCGA-AO-A12F 170.1123 0.0015 75.7766 0 3.6188 145.6795 4.5635
TCGA-AO-A12G 2.765 5.5129 103.4902 85.6027 74.9002 155.4572 67.9416
TCGA-AO-A12H 0 692.1465 20.9739 25.8896 49.9707 40.3821 0
TCGA-AQ-A04J 220.6539 0.0029 65.5728 14.744 0 53.9731 0.1732
TCGA-AR-A0TP 263.3698 1e-04 25.3926 0 8.5488 64.1123 1.0476
TCGA-AR-A0TQ 3.8985 0.0205 67.477 0 200.3602 37.2299 124.4992
TCGA-AR-A0TR 0 198.8541 0 133.7211 79.03 20.4601 0
TCGA-AR-A0TS 217.2438 3e-04 64.9303 2.9115 16.4581 9.4039 0.1169
TCGA-AR-A0TT 106.2647 0.0611 115.398 16.5941 65.8941 41.0784 0.0779
TCGA-AR-A0TU 174.7462 0 0 1e-04 1.9338 127.2175 3e-04
TCGA-AR-A0TV 44.4159 13.457 9.7296 40.2596 156.3631 54.2331 0
TCGA-AR-A0TW 36.5941 0.1126 39.9454 42.3497 153.6481 33.8126 38.1387
TCGA-AR-A0TX 48.9152 0.0165 120.9319 0 52.3799 22.2139 275.4216
TCGA-AR-A0TY 17.1855 0.0468 31.1033 0 204.0705 115.751 0.1076
TCGA-AR-A0TZ 0.0347 0.0068 87.3263 62.5482 157.5496 20.7981 0
TCGA-AR-A0U0 249.4478 4e-04 18.7423 7.1433 5.4051 0 15.8361
TCGA-AR-A0U2 38.222 0.7327 32.0467 0 155.3464 6.5701 38.3595
TCGA-AR-A0U3 35.3524 0.0625 22.499 113.2415 121.0773 9.9277 4e-04
TCGA-AR-A0U4 268.0399 4e-04 46.5434 16.1497 0 0 0
TCGA-AR-A1AH 178.8126 0 26.8221 0.4841 6.1205 88.0087 0
TCGA-AR-A1AI 261.5027 0 10.9748 4.8469 8.8801 0 0
TCGA-AR-A1AJ 229.0493 0.0039 71.1029 15.6102 0 0 0
TCGA-AR-A1AK 61.6883 0.003 56.6356 91.7351 75.7256 22.2659 34.9199
TCGA-AR-A1AL 57.4571 0.0339 129.7613 142.4285 0 19.1572 31.8499
TCGA-AR-A1AN 22.0183 0.0407 212.239 139.3244 0.0011 81.5035 117.0486
TCGA-AR-A1AO 159.9695 0.0058 233.7721 11.8676 0 54.1531 38.5339
TCGA-AR-A1AP 67.3384 0.0048 108.7712 96.0921 74.2225 50.0747 28.2609
TCGA-AR-A1AQ 210.7892 0.0014 42.968 4.4477 0 83.7962 0
TCGA-AR-A1AR 207.3568 0 91.506 13.2001 0 36.9638 0
